brand,model,year,mpf,category,category_by_score,iron_number,source
PING,G2 HL,2004,817,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
CALLAWAY,Rogue ST Max #6,2022,816,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,TS3.5 Forged #6,2025,816,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
PING,G20 #6,2012,816,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,Adapt DS Max #6,2025,815,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,Sti OS #6,2017,814,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLORMADE,SIM2 Max #6,2021,814,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TITLEIST,AP1 718 #6,2018,813,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,3400 I/XH Ladies’ #7,2004,812,Super Game Improvement,Super Game Improvement,7,GolfWorks Maltby Playability Factor
GOLFWORKS,CER 3C,2004,811,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
POWER BILT,TPS 8.0,2004,810,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
WILSON,Deep Red #6 (graphite shaft),2003,810,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,Logic Tungsten,2000,809,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
CALLAWAY,Elyte HL #6,2025,808,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
PING,G5 #6,2006,806,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLORMADE,M6 #6,2019,806,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TAYLORMADE,Supersteel Burner,2000,806,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
MIZUNO,JPX 923 Hot Metal #6,2023,805,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
